CustomerID,Name,Email,Age,Gender,Location,ProductID,Category,Subcategory,Price,Weight,Dimensions,OrderID,Date_Order,TotalAmount,ShippingMethod,Status,InventoryID,StockLevel,RestockThreshold,LastRestockDate,WarehouseID,Location_warehouse,Capacity,SupplierID,Company,Location_Supplier,QualityScore
1019,Katherine West,shieldstroy@example.net,63,Male,Kaiserborough,0,Electronics,Smart Watches,339.07,47.3,35x26x1,1019,18/06/2022,€863.1,Standard,Delivered,1019,290,490,2022-03-31,29,New Allison,17525,0,Johnson-Rodriguez,Port Robynmouth,
2610,Ashley Hess,odawson@example.net,30,Female,East Lynnhaven,21,Furniture,Sofas,919.94,13.15,31x4x8,2610,22/03/2023,$3805.56,Two-day,Delivered,2610,79,411,2021-11-22,98,Whitemouth,9656,6,Morgan LLC,New Marktown,2.48
960,Richard Clark,sparkserin@example.net,64,Male,Coffeyland,1,Electronics,Cameras,533.68,13.73,27x10x50,960,2020-11-22,£449.36,Express,Pending,960,380,65,2021-11-26,463,East Shelleybury,9049,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
6005,Benjamin Taylor,stephaniebrewer@example.com,70,Male,East Scott,21,Furniture,Sofas,768.56,40.86,27x14x9,6005,07/11/2020,€1402.38,Standard,Shipped,6005,460,279,2022-01-12,30,South Amanda,15630,3,Johnson-Rodriguez,Katherineborough,7.4
3390,Raymond Montgomery,knappkatherine@example.net,53,Female,New Heatherside,3,Furniture,Cabinets,797.37,0.73,23x36x34,3390,29/12/2022,£960.48,Two-day,Pending,3390,482,453,2021-04-11,348,North Jessicashire,6141,3,Johnson-Rodriguez,Katherineborough,7.4
6042,Claire Rush,smithscott@example.org,39,Female,West Amandahaven,6,Furniture,Chairs,635.33,15.15,36x8x1,6042,04-15-2021,£2321.36,Two-day,Pending,6042,619,433,2021-07-15,230,Port Meganport,8951,7,Miller Group,Clarkmouth,6.56
8850,Philip Weaver,todd83@example.net,7,Female,Cookburgh,11,Clothing,Hats,906.68,46.61,44x50x40,8850,2023-08-19,£760.8,Express,Delivered,8850,721,308,2021-03-18,481,Margaretberg,14080,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
2142,Justin Johnson Jr.,justin30@example.net,20,Male,Rodriguezside,10,Electronics,Laptops,10.48,43.76,37x10x19,2142,2021-09-30,€168.72,Express,Delivered,2142,568,471,2022-07-25,79,East Tyler,8422,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
1351,Katherine Wilson,roy43@example.org,56,Female,Port Donna,12,Clothing,Dresses,860.72,35.4,30x47x19,1351,01-27-2021,€3986.88,Standard,Delivered,1351,270,406,2021-11-22,139,Lake Craig,7278,9,Johnson-Rodriguez,Katherineborough,7.81
9402,Ryan Clayton,sarah87@example.net,48,Male,Perryton,21,Furniture,Sofas,663.61,13.87,38x33x49,9402,12-03-2021,£396.89,Standard,Pending,9402,878,25,2021-05-12,320,West Cindy,5650,0,Johnson-Rodriguez,Port Robynmouth,
8372,Victoria Moore,oscar88@example.com,20,Male,Wrightfurt,9,Furniture,Beds,442.68,31.99,39x24x41,8372,10-16-2020,$705.01,Two-day,Delivered,8372,923,476,2022-01-16,231,Teresaland,16828,6,Morgan LLC,New Marktown,2.48
5151,Evan Snyder,barrettrose@example.net,53,Female,Port William,48,Clothing,Jeans,147.73,16.99,24x43x26,5151,10-13-2022,£1459.18,Standard,Pending,5151,399,308,2022-07-24,286,Jacksonburgh,16670,9,Johnson-Rodriguez,Katherineborough,7.81
6339,William Johnson,masonlisa@example.org,51,Female,Denisebury,10,Electronics,Laptops,203.78,30.6,12x32x28,6339,25/01/2023,€3602.16,Express,Cancelled,6339,452,207,2021-07-16,190,Suzannetown,5196,8,Parks-Gallegos,Jenkinsside,6.82
1579,Steven Mason,simmonsalexander@example.net,56,Male,Elainehaven,13,Electronics,Headphones,738.26,41.2,34x8x17,1579,11/01/2021,€522.8,Express,Cancelled,1579,151,153,2021-12-10,428,East Sandrahaven,19705,5,Morgan LLC,Port Robynmouth,1.23
4866,Sara Becker,ureese@example.com,32,Female,South Anneshire,8,Clothing,Shoes,319.62,22.39,50x20x24,4866,2022-12-09,£498.06,Two-day,Delivered,4866,605,358,2021-06-07,136,Jenniferfurt,7388,5,Morgan LLC,Port Robynmouth,1.23
2292,Paul Daugherty,ryanryan@example.org,26,Male,Port Jessica,16,Furniture,Tables,274.05,12.64,7x40x31,2292,2020-11-11,$2839.8,Standard,Pending,2292,531,102,2022-05-02,156,Douglasfurt,16565,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
1927,Amy Jones,daniel45@example.com,20,Male,Silvaberg,9,Furniture,Beds,816.48,44.47,37x46x31,1927,10-27-2021,€99.07,Two-day,Shipped,1927,221,341,2022-01-12,22,North Calvinbury,12781,2,Miller-Pearson,Clarkmouth,9.83
2193,Jason Lewis,thomaspaige@example.org,49,Male,Port Frank,11,Clothing,Hats,640.66,5.57,12x4x32,2193,10-04-2020,$2204.1,Express,Shipped,2193,992,443,2020-11-23,89,Bruceside,9312,0,Johnson-Rodriguez,Port Robynmouth,
3658,Nancy Golden,dawn81@example.net,40,Male,West Sarah,48,Clothing,Jeans,520.62,1.93,26x25x38,3658,2021-02-10,$325.21,Two-day,Delivered,3658,830,440,2021-03-07,42,Harrisside,19264,9,Johnson-Rodriguez,Katherineborough,7.81
1215,Jeremy Mcconnell,ftaylor@example.org,62,Female,Lake Keithside,1,Electronics,Cameras,318.92,11.18,40x8x32,1215,19/01/2022,€1750.5,Two-day,Cancelled,1215,205,331,2020-12-13,174,Andrewsberg,14591,0,Johnson-Rodriguez,Port Robynmouth,
2855,Vicki Stein,johnsondebbie@example.org,46,Female,Annatown,21,Furniture,Sofas,503.03,21.57,15x1x25,2855,22/12/2021,$2831.75,Two-day,Delivered,2855,469,236,2020-11-07,428,East Sandrahaven,19705,9,Johnson-Rodriguez,Katherineborough,7.81
8080,Jose Winters,andersoncrystal@example.org,50,Male,West Sara,6,Furniture,Chairs,869.92,45.06,32x36x50,8080,18/01/2023,£615.11,Express,Shipped,8080,311,169,2022-01-21,393,Marquezchester,5868,8,Parks-Gallegos,Jenkinsside,6.82
2966,Michael Jimenez,angelica60@example.org,43,Female,Lake Rhondaside,3,Furniture,Cabinets,935.34,16.65,50x26x26,2966,07-15-2023,$2039.85,Standard,Pending,2966,59,395,2020-12-20,33,Heathertown,14932,6,Morgan LLC,New Marktown,2.48
1456,Renee Johnson,aswanson@example.net,48,Female,West Wesley,21,Furniture,Sofas,229.73,2.82,45x22x15,1456,14/05/2023,£4197.95,Two-day,Pending,1456,118,346,2021-11-16,272,East Brittanyfort,18483,2,Miller-Pearson,Clarkmouth,9.83
4502,Natalie Cooper,williammorgan@example.org,48,Female,Port Bethstad,8,Clothing,Shoes,596.61,25.39,41x17x14,4502,25/12/2020,£516.51,Standard,Delivered,4502,931,160,2022-07-29,407,North Emilymouth,6197,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
2945,Alejandra Jones,antonio58@example.com,46,Female,Davidmouth,6,Furniture,Chairs,697.14,33.06,31x25x11,2945,05-20-2021,£84.45,Express,Pending,2945,717,330,2022-08-11,190,Suzannetown,5196,2,Miller-Pearson,Clarkmouth,9.83
5042,Brian Long,connergerald@example.net,50,Male,Chaveztown,48,Clothing,Jeans,219.58,46.19,49x46x37,5042,22/10/2022,€382.25,Two-day,Shipped,5042,423,448,2022-02-01,21,Aprilland,5957,2,Miller-Pearson,Clarkmouth,9.83
5857,Stacie Garrison,ffigueroa@example.org,33,Male,North Christopher,8,Clothing,Shoes,829.21,36.27,49x33x6,5857,2021-11-11,$1572.96,Two-day,Pending,5857,83,174,2021-10-01,196,East Cameron,16860,7,Miller Group,Clarkmouth,6.56
8097,Kylie Edwards,lauramontgomery@example.org,65,Male,Rebekahview,6,Furniture,Chairs,281.24,37.18,18x25x19,8097,2021-10-08,€702.75,Express,Cancelled,8097,854,424,2021-02-01,189,North Rebecca,15747,3,Johnson-Rodriguez,Katherineborough,7.4
8951,Erica Alexander,burnettpatricia@example.com,26,Male,Wallaceport,1,Electronics,Cameras,431.34,12.06,17x48x25,8951,2021-06-01,€1724.43,Two-day,Delivered,8951,384,257,2021-12-18,84,East Hunterbury,17697,6,Morgan LLC,New Marktown,2.48
6809,Jessica Massey,johncastro@example.com,30,Male,Marthaport,1,Electronics,Cameras,28.61,32.4,37x32x42,6809,01/02/2021,$377.25,Express,Delivered,6809,462,305,2021-10-04,57,Princemouth,6544,6,Morgan LLC,New Marktown,2.48
244,Angela Hart,jeremyrodgers@example.org,30,Female,Patrickside,16,Furniture,Tables,985.32,2.77,34x36x35,244,07-02-2021,$1653.04,Express,Cancelled,244,720,308,2020-09-28,445,Lake Cameronville,18580,3,Johnson-Rodriguez,Katherineborough,7.4
6930,Mr. Aaron Kramer,ballmichelle@example.org,18,Male,Dwaynemouth,48,Clothing,Jeans,342.56,39.45,11x38x6,6930,2022-12-03,€308.81,Two-day,Pending,6930,568,435,2021-08-23,384,Thomasville,18680,6,Morgan LLC,New Marktown,2.48
1393,Maria Guerrero,melinda23@example.com,69,Female,Longland,13,Electronics,Headphones,133.95,10.07,7x50x11,1393,02-27-2023,€664.38,Standard,Shipped,1393,25,437,2021-04-13,259,Sweeneytown,13411,3,Johnson-Rodriguez,Katherineborough,7.4
434,Alicia Reeves,lee44@example.com,69,Female,West Janice,16,Furniture,Tables,434.35,21.69,49x18x14,434,10-02-2022,$935.8,Standard,Cancelled,434,922,12,2022-06-07,46,North Ronald,11398,2,Miller-Pearson,Clarkmouth,9.83
8876,Michael Brown,josephwatson@example.com,18,Male,West Elizabeth,21,Furniture,Sofas,612.37,38.93,12x14x41,8876,10/12/2022,$4101.2,Two-day,Shipped,8876,327,197,2020-10-13,107,Donnatown,14101,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
7477,Miss Karen Ward,nicholasmitchell@example.org,38,Male,Lauraside,48,Clothing,Jeans,679.24,21.94,10x6x26,7477,05-22-2022,$3331.65,Express,Pending,7477,742,181,2022-01-19,148,Woodville,6865,5,Morgan LLC,Port Robynmouth,1.23
6925,Daniel Irwin,reedamanda@example.org,31,Female,Lake Sheilaberg,9,Furniture,Beds,698.29,8.22,31x46x13,6925,10-06-2020,€2605.75,Standard,Delivered,6925,494,364,2022-02-17,227,Jenniferborough,8982,8,Parks-Gallegos,Jenkinsside,6.82
5937,Donald Braun,joannejones@example.org,37,Male,Shelbyberg,8,Clothing,Shoes,377.02,0.56,44x30x4,5937,2021-10-14,£2254.6,Express,Cancelled,5937,523,102,2022-05-11,355,Duffyville,13215,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
6916,Sara Davis,stevenmartinez@example.org,64,Male,Joseton,3,Furniture,Cabinets,348.56,37.15,10x49x29,6916,2022-02-26,$437.91,Two-day,Cancelled,6916,21,466,2022-08-23,245,North Kathryn,12829,9,Johnson-Rodriguez,Katherineborough,7.81
657,April Brown,mcox@example.org,34,Female,Jennifershire,8,Clothing,Shoes,938.85,45.26,6x12x43,657,2021-10-08,£850.44,Two-day,Cancelled,657,223,265,2021-12-19,227,Jenniferborough,8982,8,Parks-Gallegos,Jenkinsside,6.82
477,Peter Barnes,josephgarcia@example.org,55,Male,North Alan,11,Clothing,Hats,334.64,39.63,21x33x29,477,21/01/2021,$267.9,Two-day,Cancelled,477,559,422,2021-10-10,216,Port Christopher,13146,0,Johnson-Rodriguez,Port Robynmouth,
2162,Anthony Holmes,zachary31@example.com,38,Male,Port Emily,3,Furniture,Cabinets,750.11,38.36,42x22x9,2162,06/12/2022,£544.72,Two-day,Cancelled,2162,56,342,2020-10-14,78,Simpsonshire,12048,8,Parks-Gallegos,Jenkinsside,6.82
4807,Michael Huber,rileyjessica@example.org,52,Female,Emilychester,8,Clothing,Shoes,464.47,12.79,7x2x1,4807,01/09/2022,£755.64,Express,Pending,4807,293,354,2021-09-12,9,Port Catherine,16660,6,Morgan LLC,New Marktown,2.48
6725,Andrea Love,philip33@example.net,42,Female,Ryanville,9,Furniture,Beds,672.42,41.84,45x14x35,6725,05-31-2022,€1258.2,Two-day,Delivered,6725,377,135,2021-02-03,356,Gloverton,19925,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
6322,Michael Golden,barbernatalie@example.org,44,Female,East Josephport,16,Furniture,Tables,515.3,33.03,17x37x33,6322,01/04/2023,€91.91,Standard,Shipped,6322,679,437,2021-10-21,460,Port Richardland,15395,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
2685,Michael Alexander,jacksonjennifer@example.net,68,Female,Deniseland,10,Electronics,Laptops,459.58,13.18,49x49x28,2685,2023-03-20,€208.32,Two-day,Shipped,2685,408,321,2021-09-18,366,East Danny,16486,5,Morgan LLC,Port Robynmouth,1.23
495,Jacob Young,robin50@example.com,30,Female,Scottside,6,Furniture,Chairs,275.92,33.15,8x28x50,495,05/11/2020,£1070.88,Two-day,Pending,495,169,172,2021-10-26,42,Harrisside,19264,9,Johnson-Rodriguez,Katherineborough,7.81
7319,Frederick Morris,wvaughan@example.com,31,Female,Heatherborough,48,Clothing,Jeans,93.03,39.36,30x7x3,7319,13/09/2020,€1649.55,Two-day,Pending,7319,697,296,2021-01-08,474,New Grace,19498,3,Johnson-Rodriguez,Katherineborough,7.4
6587,Amanda Guerrero,richardsmichelle@example.org,57,Female,Marshville,4,Clothing,T-Shirts,952.6,29.33,21x40x50,6587,29/06/2022,£744.59,Standard,Cancelled,6587,278,266,2022-08-29,430,Port Richardmouth,7780,0,Johnson-Rodriguez,Port Robynmouth,
5680,Sarah Wilkerson,nyoung@example.com,25,Female,Nathanielside,3,Furniture,Cabinets,378.69,47.56,16x50x18,5680,11-02-2021,£254.36,Express,Cancelled,5680,468,303,2022-01-17,160,Port Vanessabury,13483,3,Johnson-Rodriguez,Katherineborough,7.4
6951,Edward Campbell,gdelacruz@example.net,47,Male,Sanchezstad,16,Furniture,Tables,461.23,38.14,43x50x30,6951,10-21-2021,€1357.35,Express,Pending,6951,426,283,2022-03-27,44,Timothyberg,16501,9,Johnson-Rodriguez,Katherineborough,7.81
6808,Autumn Boone,blackburncaleb@example.net,53,Male,Jesseborough,16,Furniture,Tables,601.57,1.11,9x29x29,6808,09-19-2020,£1762.92,Two-day,Cancelled,6808,894,231,2021-08-29,74,Lake Erinberg,7134,2,Miller-Pearson,Clarkmouth,9.83
894,Matthew Brewer,bakersamuel@example.com,39,Female,Crosbymouth,3,Furniture,Cabinets,944.44,24.34,45x46x13,894,18/04/2022,£253.13,Standard,Shipped,894,139,340,2022-03-17,468,Port Aimee,8059,0,Johnson-Rodriguez,Port Robynmouth,
1272,Deborah Robinson,tanyamartin@example.org,32,Female,East Bradley,12,Clothing,Dresses,455.14,46.14,1x28x15,1272,04-12-2021,$391.01,Two-day,Cancelled,1272,131,52,2021-07-11,93,Robertburgh,13418,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
9021,Autumn Hughes,chelsea60@example.net,40,Male,West Davidton,11,Clothing,Hats,704.68,46.85,38x26x21,9021,30/08/2021,$2165.24,Express,Pending,9021,182,388,2021-06-07,268,Chasefurt,16822,2,Miller-Pearson,Clarkmouth,9.83
7809,Mark Davis,goodwinlatoya@example.org,60,Female,Julieburgh,21,Furniture,Sofas,560.61,43.41,24x11x13,7809,2020-11-06,$2458.89,Standard,Cancelled,7809,665,216,2021-05-04,371,Veronicashire,8821,2,Miller-Pearson,Clarkmouth,9.83
5066,Michelle Stevens,katiearcher@example.com,70,Male,Lake Brian,13,Electronics,Headphones,295.97,7.28,29x9x17,5066,03-07-2022,€1415.34,Standard,Delivered,5066,350,367,2022-06-11,223,South Mark,16298,8,Parks-Gallegos,Jenkinsside,6.82
9809,Jennifer Kramer,nbeasley@example.com,63,Male,Jonathanhaven,13,Electronics,Headphones,754.51,19.99,31x20x12,9809,03-13-2021,€278.78,Standard,Shipped,9809,543,414,2022-04-01,430,Port Richardmouth,7780,6,Morgan LLC,New Marktown,2.48
907,James Lee,adammeyer@example.com,69,Male,North Timothy,12,Clothing,Dresses,274.69,28.94,44x29x26,907,02-18-2023,£4513.9,Express,Shipped,907,758,70,2022-01-23,260,South Brian,12771,0,Johnson-Rodriguez,Port Robynmouth,
4846,James Lee,jonesdavid@example.com,54,Female,Douglasbury,12,Clothing,Dresses,361.84,24.5,43x21x3,4846,12-30-2020,£3360.92,Standard,Pending,4846,261,442,2022-07-06,284,Lake Wendy,11671,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
563,Kimberly Thomas,odoyle@example.com,38,Female,Williefort,12,Clothing,Dresses,518.12,25.8,50x8x42,563,21/11/2020,$3605.45,Two-day,Cancelled,563,716,116,2021-11-10,32,East Christinafurt,18998,9,Johnson-Rodriguez,Katherineborough,7.81
8450,Mr. Timothy Tran,garyskinner@example.com,59,Female,Donaldburgh,6,Furniture,Chairs,286.38,3.94,36x39x42,8450,2022-09-21,$484.5,Standard,Shipped,8450,250,487,2020-09-19,221,South Joseph,11778,9,Johnson-Rodriguez,Katherineborough,7.81
4382,Jordan Dunn,jeanjohnson@example.com,21,Female,Ashleytown,21,Furniture,Sofas,574.51,23.93,1x39x44,4382,2021-01-27,$40.98,Express,Shipped,4382,309,166,2021-02-21,287,West Susan,5478,7,Miller Group,Clarkmouth,6.56
2879,Kyle Sloan,dana90@example.com,18,Male,Richardview,11,Clothing,Hats,759.02,2.72,13x17x30,2879,10-02-2022,€409.15,Standard,Shipped,2879,239,181,2022-07-04,129,North Blakeland,15758,0,Johnson-Rodriguez,Port Robynmouth,
7626,Zachary Williams,danielmann@example.com,52,Male,Justinmouth,2,Electronics,Mobile Phones,151.72,31.17,32x25x12,7626,14/05/2023,£874.62,Two-day,Cancelled,7626,7,473,2021-06-04,43,Manuelstad,18856,3,Johnson-Rodriguez,Katherineborough,7.4
7485,Nicole Holt,terrykatherine@example.net,38,Male,Kimmouth,11,Clothing,Hats,396.87,32.96,35x26x48,7485,02-15-2022,£3286.85,Express,Delivered,7485,843,159,2020-11-08,208,Kruegerburgh,13084,9,Johnson-Rodriguez,Katherineborough,7.81
19,Amanda Thomas,caitlinkoch@example.net,35,Male,New Kathy,9,Furniture,Beds,479.38,1.96,19x25x18,19,01-16-2023,£763.98,Express,Delivered,19,451,108,2021-04-13,481,Margaretberg,14080,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
2060,Deanna Rodriguez,rgalloway@example.org,57,Male,Edwardsshire,6,Furniture,Chairs,595.95,25.78,18x3x19,2060,2021-05-01,$627.36,Express,Shipped,2060,745,360,2021-09-17,199,Port Jonathan,13686,5,Morgan LLC,Port Robynmouth,1.23
1709,Casey Savage,dawnwong@example.net,53,Male,Randyville,0,Electronics,Smart Watches,241.8,31.29,22x20x39,1709,2022-04-19,£1086.66,Two-day,Pending,1709,968,263,2021-04-28,455,Lake Monica,11049,0,Johnson-Rodriguez,Port Robynmouth,
123,Emma Thompson,andersonerin@example.com,35,Male,Hernandezbury,48,Clothing,Jeans,81.37,40.64,13x10x13,123,28/07/2022,£4046.55,Two-day,Delivered,123,320,278,2021-09-14,330,East Ashley,17124,3,Johnson-Rodriguez,Katherineborough,7.4
5163,Matthew Vaughn,annestrada@example.net,53,Female,Williamsfort,11,Clothing,Hats,447.6,4.92,17x48x26,5163,13/09/2021,€1487.13,Two-day,Cancelled,5163,803,307,2021-10-02,58,New Amanda,5037,2,Miller-Pearson,Clarkmouth,9.83
9804,James Turner,kennethhopkins@example.net,43,Male,East Adamport,11,Clothing,Hats,705.39,25.43,16x48x25,9804,2020-11-07,€1183.18,Two-day,Cancelled,9804,861,50,2021-09-03,184,Tuckerhaven,16439,8,Parks-Gallegos,Jenkinsside,6.82
839,Patricia Wilson,michellewashington@example.net,33,Male,Ernestberg,3,Furniture,Cabinets,152.89,20.22,32x7x1,839,14/06/2022,£221.76,Express,Shipped,839,789,344,2020-09-28,156,Douglasfurt,16565,3,Johnson-Rodriguez,Katherineborough,7.4
5763,Michael Luna MD,ericford@example.net,47,Female,Baileyside,10,Electronics,Laptops,461.38,20.62,7x23x9,5763,2020-10-01,€2571.95,Standard,Delivered,5763,731,205,2020-11-09,142,Riosville,5180,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
2392,Nathan Cummings,wkramer@example.org,18,Female,Hendrixside,6,Furniture,Chairs,788.8,35.93,34x40x13,2392,2021-03-08,€603.4,Two-day,Pending,2392,851,225,2022-02-13,317,Aaronmouth,11416,0,Johnson-Rodriguez,Port Robynmouth,
8360,David Tucker,ashleyaustin@example.com,50,Female,Lake Marissa,9,Furniture,Beds,376.31,17.17,1x15x10,8360,03-14-2021,$1125.28,Two-day,Cancelled,8360,699,105,2020-12-03,216,Port Christopher,13146,5,Morgan LLC,Port Robynmouth,1.23
7119,Brian Johnson,vthomas@example.org,20,Male,East David,2,Electronics,Mobile Phones,959.87,6.88,18x38x4,7119,28/03/2023,€648.48,Two-day,Delivered,7119,902,469,2021-07-31,191,Franklinville,6323,3,Johnson-Rodriguez,Katherineborough,7.4
8521,Katherine Pruitt,danielsimpson@example.com,42,Female,East Lauraside,8,Clothing,Shoes,929.22,31.69,40x45x24,8521,26/07/2022,£3100.2,Express,Delivered,8521,280,298,2021-07-21,38,South Timothy,18852,6,Morgan LLC,New Marktown,2.48
4874,Paul Erickson,mtodd@example.net,70,Male,South Jamie,0,Electronics,Smart Watches,633.99,8.35,33x8x22,4874,12/12/2022,£4307.15,Two-day,Shipped,4874,602,311,2021-08-11,456,Sarahfurt,11174,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
9335,Joshua Morris,jonathan27@example.org,32,Male,Wilsonfort,0,Electronics,Smart Watches,801.71,31.65,32x31x26,9335,23/01/2021,$1018.1,Standard,Cancelled,9335,251,498,2022-01-26,347,Wilkinsfurt,8761,9,Johnson-Rodriguez,Katherineborough,7.81
2212,Kelsey Little,jessicadiaz@example.com,55,Female,Port Noahview,0,Electronics,Smart Watches,300.73,33.0,31x44x13,2212,08/05/2022,£815.22,Standard,Pending,2212,216,463,2021-04-22,127,Andersonchester,5767,5,Morgan LLC,Port Robynmouth,1.23
857,Richard Jimenez,mwagner@example.com,31,Male,Davishaven,2,Electronics,Mobile Phones,169.37,18.28,3x9x30,857,07-14-2021,€3833.5,Two-day,Cancelled,857,922,251,2022-05-06,388,North Thomasfort,12388,9,Johnson-Rodriguez,Katherineborough,7.81
9319,Anna Bell,kevingarcia@example.com,22,Female,New Susanville,4,Clothing,T-Shirts,196.28,11.94,37x32x41,9319,11-29-2020,€690.85,Express,Shipped,9319,986,132,2022-04-22,123,Brownport,10349,2,Miller-Pearson,Clarkmouth,9.83
4063,Zoe Griffin,shane65@example.net,70,Male,North David,1,Electronics,Cameras,203.62,41.25,2x21x38,4063,02-16-2022,€1728.8,Express,Pending,4063,244,460,2021-08-17,306,Clarkberg,19462,9,Johnson-Rodriguez,Katherineborough,7.81
4202,Matthew Harrell,kimobrien@example.net,43,Female,Port Kaitlynhaven,11,Clothing,Hats,260.36,25.51,8x13x35,4202,07-10-2022,$248.22,Two-day,Delivered,4202,366,153,2022-01-15,106,New Melanie,6702,8,Parks-Gallegos,Jenkinsside,6.82
1236,Stephanie Reed,donmann@example.org,35,Male,North Tamara,12,Clothing,Dresses,238.46,9.42,43x19x1,1236,2022-04-11,€551.88,Express,Pending,1236,544,92,2021-09-15,156,Douglasfurt,16565,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
2699,Misty Kelly,angela67@example.net,29,Female,Lake Brooke,9,Furniture,Beds,335.06,17.02,12x18x50,2699,09-04-2020,£127.6,Express,Cancelled,2699,81,341,2022-01-06,386,Adamsville,9263,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
9427,Sarah Cole,anna98@example.net,44,Male,Lake Joshuaport,21,Furniture,Sofas,157.96,0.6,45x36x22,9427,2023-02-06,$165.4,Standard,Shipped,9427,960,371,2021-12-16,332,East Richardview,18143,0,Johnson-Rodriguez,Port Robynmouth,
4822,Reginald Clark,beverly43@example.org,35,Female,North Katherinehaven,11,Clothing,Hats,441.63,21.63,8x31x50,4822,12-28-2020,€2876.56,Two-day,Cancelled,4822,539,402,2022-06-04,53,Davidmouth,13536,5,Morgan LLC,Port Robynmouth,1.23
3174,James Wright,bdavis@example.com,57,Male,Port Ann,12,Clothing,Dresses,317.12,32.58,47x15x42,3174,27/11/2021,£1011.1,Express,Pending,3174,451,164,2021-09-10,492,Cainshire,18296,5,Morgan LLC,Port Robynmouth,1.23
3488,Tracy Gonzales DDS,glopez@example.org,58,Male,Whitakerhaven,0,Electronics,Smart Watches,190.81,48.73,23x28x36,3488,2021-02-18,£79.08,Standard,Cancelled,3488,909,192,2022-02-26,139,Lake Craig,7278,5,Morgan LLC,Port Robynmouth,1.23
